SIMCARD;MDN
8937201018040000006;37259473403
8937201018040000014;37259473409
8937201018040000022;37259473410
8937201018040000030;37259473422
8937201018040000048;37259473434
8937201018040000055;37259473460
8937201018040000063;37259473469
8937201018040000071;37259473471
8937201018040000089;37259473474
8937201018040000097;37259473475
8937201018040000105;37259473477
8937201018040000113;37259473482
8937201018040000121;37259473491
8937201018040000139;37259473499
8937201018040000147;37259473504
8937201018040000154;37259473507
8937201018040000162;37259473523
8937201018040000170;37259473530
8937201018040000188;37259473536
8937201018040000196;37259473572
8937201018040000204;37259473576
8937201018040000212;37259473589
8937201018040000220;37259473591
8937201018040000238;37259473596
8937201018040000246;37259473597
8937201018040000253;37259473598
8937201018040000261;37259473599
8937201018040000279;37259473616
8937201018040000287;37259473618
8937201018040000295;37259473633
8937201018040000303;37259473640
8937201018040000311;37259473661
8937201018040000329;37259473670
8937201018040000337;37259473686
8937201018040000345;37259473697
8937201018040000352;37259473702
8937201018040000360;37259473715
8937201018040000378;37259473717
8937201018040000386;37259473731
8937201018040000394;37259473733
8937201018040000402;37259473734
8937201018040000410;37259473735
8937201018040000428;37259473755
8937201018040000436;37259473771
8937201018040000444;37259473782
8937201018040000451;37259473784
8937201018040000469;37259473787
8937201018040000477;37259473790
8937201018040000485;37259473795
8937201018040000493;37259473797
8937201018040000501;37259473800
8937201018040000519;37259473809
8937201018040000527;37259473810
8937201018040000535;37259473814
8937201018040000543;37259473819
8937201018040000550;37259473820
8937201018040000568;37259473832
8937201018040000576;37259473838
8937201018040000584;37259473846
8937201018040000592;37259473851
8937201018040000600;37259473855
8937201018040000618;37259473865
8937201018040000626;37259473870
8937201018040000634;37259473872
8937201018040000642;37259473881
8937201018040000659;37259473883
8937201018040000667;37259473885
8937201018040000675;37259473888
8937201018040000683;37259473905
8937201018040000691;37259473906
8937201018040000709;37259473907
8937201018040000717;37259473909
8937201018040000725;37259473913
8937201018040000733;37259473921
8937201018040000741;37259473923
8937201018040000758;37259473931
8937201018040000766;37259473933
8937201018040000774;37259473934
8937201018040000782;37259473943
8937201018040000790;37259473953
8937201018040000808;37259473954
8937201018040000816;37259473961
8937201018040000824;37259473968
8937201018040000832;37259473969
8937201018040000840;37259474001
8937201018040000857;37259474002
8937201018040000865;37259474007
8937201018040000873;37259474008
8937201018040000881;37259474013
8937201018040000899;37259474015
8937201018040000907;37259474021
8937201018040000915;37259474022
8937201018040000923;37259474026
8937201018040000931;37259474027
8937201018040000949;37259474028
8937201018040000956;37259474030
8937201018040000964;37259474040
8937201018040000972;37259474051
8937201018040000980;37259474056
8937201018040000998;37259474060
